data;data_doy
2037-6-01;2037.4153005464
2037-7-01;2037.4972677596
2037-8-01;2037.5819672131
2037-9-01;2037.6666666667
2037-10-01;2037.7486338798
2037-11-01;2037.8333333333
2037-12-01;2037.9153005464
2038-1-01;2038.0027322404
2038-2-01;2038.0027322404
2038-3-01;2038.0027322404
2038-4-01;2038.0027322404
2038-5-01;2038.0027322404
2038-6-01;2038.0027322404
2038-7-01;2038.0027322404
2038-8-01;2038.0027322404
2038-9-01;2038.0027322404
2038-10-01;2038.0027322404
2038-11-01;2038.0027322404
2038-12-01;2038.0027322404
2039-1-01;2039.0027322404
2039-2-01;2039.0027322404
2039-3-01;2039.0027322404
2039-4-01;2039.0027322404
2039-5-01;2039.0027322404
2039-6-01;2039.0027322404
2039-7-01;2039.0027322404
2039-8-01;2039.0027322404
2039-9-01;2039.0027322404
2039-10-01;2039.0027322404
2039-11-01;2039.0027322404
2039-12-01;2039.0027322404
2040-1-01;2040.0027322404
2040-2-01;2040.0027322404
2040-3-01;2040.0027322404
2040-4-01;2040.0027322404
2040-5-01;2040.0027322404
2040-6-01;2040.0027322404
2040-7-01;2040.0027322404
2040-8-01;2040.0027322404
2040-9-01;2040.0027322404
2040-10-01;2040.0027322404
2040-11-01;2040.0027322404
2040-12-01;2040.0027322404
2041-1-01;2041.0027322404
2041-2-01;2041.0027322404
2041-3-01;2041.0027322404
2041-4-01;2041.0027322404
2041-5-01;2041.0027322404
2041-6-01;2041.0027322404
2041-7-01;2041.0027322404
2041-8-01;2041.0027322404
2041-9-01;2041.0027322404
2041-10-01;2041.0027322404
2041-11-01;2041.0027322404
2041-12-01;2041.0027322404
2042-1-01;2042.0027322404
2042-2-01;2042.0027322404
2042-3-01;2042.0027322404
2042-4-01;2042.0027322404
2042-5-01;2042.0027322404
2042-6-01;2042.0027322404
2042-7-01;2042.0027322404
2042-8-01;2042.0027322404
2042-9-01;2042.0027322404
2042-10-01;2042.0027322404
2042-11-01;2042.0027322404
2042-12-01;2042.0027322404
2043-1-01;2043.0027322404
2043-2-01;2043.0027322404
2043-3-01;2043.0027322404
2043-4-01;2043.0027322404
2043-5-01;2043.0027322404
2043-6-01;2043.0027322404
2043-7-01;2043.0027322404
2043-8-01;2043.0027322404
2043-9-01;2043.0027322404
2043-10-01;2043.0027322404
2043-11-01;2043.0027322404
2043-12-01;2043.0027322404
2044-1-01;2044.0027322404
2044-2-01;2044.0027322404
2044-3-01;2044.0027322404
2044-4-01;2044.0027322404
2044-5-01;2044.0027322404
2044-6-01;2044.0027322404
2044-7-01;2044.0027322404
2044-8-01;2044.0027322404
2044-9-01;2044.0027322404
2044-10-01;2044.0027322404
2044-11-01;2044.0027322404
2044-12-01;2044.0027322404
2045-1-01;2045.0027322404
2045-2-01;2045.0027322404
2045-3-01;2045.0027322404
2045-4-01;2045.0027322404
2045-5-01;2045.0027322404
2045-6-01;2045.0027322404
2045-7-01;2045.0027322404
2045-8-01;2045.0027322404
2045-9-01;2045.0027322404
2045-10-01;2045.0027322404
2045-11-01;2045.0027322404
2045-12-01;2045.0027322404
2046-1-01;2046.0027322404
2046-2-01;2046.0027322404
2046-3-01;2046.0027322404
2046-4-01;2046.0027322404
2046-5-01;2046.0027322404
2046-6-01;2046.0027322404
2046-7-01;2046.0027322404
2046-8-01;2046.0027322404
2046-9-01;2046.0027322404
2046-10-01;2046.0027322404
2046-11-01;2046.0027322404
2046-12-01;2046.0027322404
2047-1-01;2047.0027322404
2047-2-01;2047.0027322404
2047-3-01;2047.0027322404
2047-4-01;2047.0027322404
2047-5-01;2047.0027322404
2047-6-01;2047.0027322404
2047-7-01;2047.0027322404
2047-8-01;2047.0027322404
2047-9-01;2047.0027322404
2047-10-01;2047.0027322404
2047-11-01;2047.0027322404
2047-12-01;2047.0027322404
2048-1-01;2048.0027322404
2048-2-01;2048.0027322404
2048-3-01;2048.0027322404
2048-4-01;2048.0027322404
2048-5-01;2048.0027322404
2048-6-01;2048.0027322404
2048-7-01;2048.0027322404
2048-8-01;2048.0027322404
2048-9-01;2048.0027322404
2048-10-01;2048.0027322404
2048-11-01;2048.0027322404
2048-12-01;2048.0027322404
2049-1-01;2049.0027322404
2049-2-01;2049.0027322404
2049-3-01;2049.0027322404
2049-4-01;2049.0027322404
2049-5-01;2049.0027322404
2049-6-01;2049.0027322404
2049-7-01;2049.0027322404
2049-8-01;2049.0027322404
2049-9-01;2049.0027322404
2049-10-01;2049.0027322404
2049-11-01;2049.0027322404
2049-12-01;2049.0027322404
2050-1-01;2050.0027322404
2050-2-01;2050.0027322404
2050-3-01;2050.0027322404
2050-4-01;2050.0027322404
2050-5-01;2050.0027322404
2050-6-01;2050.0027322404
2050-7-01;2050.0027322404
2050-8-01;2050.0027322404
2050-9-01;2050.0027322404
2050-10-01;2050.0027322404
2050-11-01;2050.0027322404
2050-12-01;2050.0027322404
